station_number,total_observations,last_date,last_value,unit
08MB011,952,,,cms
08EE009,3611,,,cms
08HB011,23402,,,cms
08HF012,9467,,,cms
08HE001,3802,,,cms
08HA017,989,,,cms
08LG025,513,,,cms
08LE065,2097,,,cms
08HB098,411,,,cms
08LF013,2574,,,cms
07EC004,16027,,,cms
08LG022,958,,,cms
08GA061,18958,,,cms
08LC030,1127,,,cms
08FC003,20659,,,cms
08JC010,492,,,cms
08HB003,6130,,,cms
08LB072,9119,,,cms
08GA017,17642,,,cms
08GA025,905,,,cms
07FD015,2611,,,cms
07FB009,15279,,,cms
08LF051,26756,,,cms
08JC007,713,,,cms
08LB032,919,,,cms
08JA006,2403,,,cms
08HA063,361,,,cms
07EE009,17778,,,cms
08EE003,12435,,,cms
08LF088,666,,,cms
08KA011,996,,,cms
08GD010,1287,,,cms
08JC011,89,,,cms
08HB024,17756,,,cms
08LC042,18799,,,cms
08KE020,888,,,cms
08EC008,1126,,,cms
08HA021,2587,,,cms
08LE021,20835,,,cms
08GA011,1744,,,cms
08LB029,733,,,cms
08DB008,252,,,cms
08GD006,5727,,,cms
08LE054,822,,,cms
08HB059,933,,,cms
07EE011,838,,,cms
08GF007,6552,,,cms
08HB027,3396,,,cms
08FC004,671,,,cms
07EB001,5352,,,cms
08LG023,692,,,cms
08LE075,13082,,,cms
08LF069,3596,,,cms
08LF070,1885,,,cms
08CB002,1845,,,cms
07EE002,3546,,,cms
08FA004,1578,,,cms
08LG004,9989,,,cms
08LF001,2969,,,cms
08KH007,4222,,,cms
08KE019,544,,,cms
08EB005,15103,,,cms
08KH022,5080,,,cms
07GC001,1782,,,cms
08LF061,8697,,,cms
08LF067,59,,,cms
07FB006,17148,,,cms
08MB008,420,,,cms
08HB002,18116,,,cms
08GA023,4149,,,cms
08HD004,1252,,,cms
08JC006,3796,,,cms
08KE035,410,,,cms
08HD023,7888,,,cms
08LF024,2219,,,cms
08LE069,4536,,,cms
08HB033,223,,,cms
08KE022,864,,,cms
08HA008,654,,,cms
08HD007,23164,,,cms
08LD006,1206,,,cms
08LF043,5661,,,cms
08LB027,1708,,,cms
08KB001,27269,,,cms
08LE110,1323,,,cms
08KH013,4898,,,cms
08CE004,1916,,,cms
08GA024,8692,,,cms
08LF097,357,,,cms
08LA005,11469,,,cms
08KH026,622,,,cms
08LE027,22811,,,cms
08HB099,6,,,cms
08CE005,862,,,cms
08JC001,26953,,,cms
08JC008,2750,,,cms
08LF004,1012,,,cms
08MB002,1062,,,cms
08LC024,707,,,cms
08LE063,349,,,cms
08CC002,3465,,,cms
08LE104,905,,,cms
08FE002,23539,,,cms
08LE049,2517,,,cms
08LB043,535,,,cms
07FD004,11650,,,cms
08GA054,6605,,,cms
08HB008,37175,,,cms
08LE099,366,,,cms
08HD011,18040,,,cms
08EE010,3861,,,cms
08HF003,4504,,,cms
08LF005,2899,,,cms
08HF014,3039,,,cms
08LA026,778,,,cms
