site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
10366000,"TWENTYMILE CREEK NEAR ADEL,OREG.",42.07211128,-119.9627248,OR,037,17120007,17,1712,194.0,ST,Yes,Pacific Northwest,True,True
10366500,"DEEP CR AB DISMAL CR NR WARNER LAKE,OREG.",42.066554,-120.1510636,OR,037,17120007,17,1712,13.0,ST,Yes,Pacific Northwest,True,True
10367500,"DISMAL CREEK NEAR WARNER LAKE,OREG.",42.06655418,-120.1343964,OR,037,17120007,17,1712,14.0,ST,Yes,Pacific Northwest,True,True
10368500,"DEEP CR AT BIG VLY NR LAKEVIEW,OREG.",42.1332197,-120.134397,OR,037,17120007,17,1712,70.0,ST,Yes,Pacific Northwest,True,True
10369000,"CAMAS CREEK NEAR PLUSH,OREG.",42.2165512,-120.1677322,OR,037,17120007,17,1712,32.0,ST,Yes,Pacific Northwest,True,True
10369500,"MUD CREEK NEAR PLUSH,OREG.",42.2332176,-120.1677324,OR,037,17120007,17,1712,18.0,ST,Yes,Pacific Northwest,True,True
10370000,"CAMAS CREEK NEAR LAKEVIEW,OREG.",42.21627435,-120.1024524,OR,037,17120007,17,1712,63.0,ST,Yes,Pacific Northwest,True,True
10370500,"CRANE CREEK NEAR LAKEVIEW,OREG.     (DUPLICATE1)",42.1998857,-120.1010633,OR,037,17120007,17,1712,7.0,ST,Yes,Pacific Northwest,True,True
10371000,"DRAKE CREEK NEAR ADEL,OREG.",42.1998869,-120.0124494,OR,037,17120007,17,1712,67.0,ST,Yes,Pacific Northwest,True,True
10371500,"DEEP CREEK ABOVE ADEL,OREG.",42.18905386,-120.0016156,OR,037,17120007,17,1712,249.0,ST,Yes,Pacific Northwest,True,True
10373000,"GIVAN CANAL NEAR ADEL,OREG.",42.1832207,-119.984393,OR,037,17120007,17,1712,,ST-CA,Yes,Pacific Northwest,True,True
10374500,"DEEP CREEK AT ADEL, OREG.",42.1665548,-119.9010575,OR,037,17120007,17,1712,274.0,ST,Yes,Pacific Northwest,True,True
