site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
09163530,COLORADO RIVER BELOW COLORADO-UTAH STATE LINE,39.08831747,-109.1009454,UT,019,14030001,14030001,14,17900,ST,Yes,Southwest,False,True
09163675,"COTTONWOOD WASH AT I-70, NEAR CISCO, UTAH",39.08165184,-109.2176153,UT,019,14030001,14030001,14,170.00,ST,Yes,Southwest,False,True
09180000,"DOLORES RIVER NEAR CISCO, UT",38.79720805,-109.1951142,UT,019,14030004,14030004,14,4580,ST,Yes,Southwest,False,True
09180500,"COLORADO RIVER NEAR CISCO, UT",38.81054095,-109.2934493,UT,019,14030005,14030005,14,24100,ST,Yes,Southwest,False,True
09180920,"ONION CREEK ABOVE ONION C BRIDGE NR MOAB, UT",38.69693046,-109.2551154,UT,019,14030005,14030005,14,2.90,ST,Yes,Southwest,False,True
09180970,"ONION CREEK BELOW ONION CRK BRIDGE NR MOAB, UT",38.70637365,-109.3151161,UT,019,14030005,14030005,14,14.50,ST,Yes,Southwest,False,True
09181000,"ONION CREEK NEAR MOAB, UTAH",38.72498404,-109.3451166,UT,019,14030005,14030005,14,18.80,ST,Yes,Southwest,False,True
09181500,"PROFESSOR CREEK NEAR MOAB, UT",38.72915,-109.3756725,UT,019,14030005,14030005,14,33.60,ST,Yes,Southwest,False,True
09182000,"CASTLE CREEK ABOVE DIVERSIONS, NEAR MOAB, UTAH",38.5927639,-109.2656708,UT,019,14030005,14030005,14,7.58,ST,Yes,Southwest,False,True
09182200,"CASTLE CREEK BELOW CASTLETON NEAR MOAB, UT",38.6124849,-109.332338,UT,019,14030005,14030005,14,17.6,ST,Yes,Southwest,False,True
09182400,"CASTLE CREEK BELOW CASTLE VALLEY NEAR MOAB, UT",38.673859,-109.4501395,UT,019,14030005,14030005,14,58.1,ST,Yes,Southwest,False,True
09182500,"CASTLE CREEK NEAR MOAB, UTAH",38.67914895,-109.4492841,UT,019,14030005,14030005,14,53.10,ST,Yes,Southwest,False,True
09182880,"COLORADO RIVER AT HIGHWAY BRIDGE NR MOAB, UT",38.6038705,-109.5778956,UT,019,14030005,14030005,14,,ST,Yes,Southwest,False,True
09182900,"COURTHOUSE WASH AT ARCHES HWY CROSS NR MOAB, UT",38.64859187,-109.5992853,UT,019,14030005,14030005,14,143.00,ST,Yes,Southwest,False,True
09183000,"COURTHOUSE WASH NEAR MOAB, UTAH",38.61275926,-109.5798402,UT,019,14030005,14030005,14,162.00,ST,Yes,Southwest,False,True
09183210,"COLORADO R ABOVE MILL CREEK NEAR MOAB, UTAH",38.57525984,-109.5787286,UT,019,14030005,14030005,14,,ST,Yes,Southwest,False,True
09183500,"MILL CREEK AT SHELEY TUNNEL, NEAR MOAB, UT",38.4819972,-109.405025,UT,037,14030005,14030005,14,26.8,ST,Yes,Southwest,False,True
09183600,"MILL CREEK BELOW SHELEY TUNNEL, NEAR MOAB, UT",38.48571796,-109.4111044,UT,037,14030005,14030005,14,27.6,ST,Yes,Southwest,False,True
09183800,"NORTH FORK MILL CREEK NEAR MOAB, UTAH",38.56599444,-109.477175,UT,019,14030005,14030005,14,,ST,Yes,Southwest,False,True
09184000,"MILL CREEK NEAR MOAB, UT",38.56220477,-109.5140057,UT,019,14030005,14030005,14,74.90,ST,Yes,Southwest,False,True
09184500,"PACK CREEK AT M4 RANCH, NR MOAB, UTAH",38.43609688,-109.3548368,UT,037,14030005,14030005,14,15.80,ST,Yes,Southwest,False,True
09184600,"PACK CREEK AT PACK CREEK ROAD BRIDGE NEAR MOAB, UT",38.44580556,-109.38525,UT,037,14030005,14030005,14,30.5,ST,Yes,Southwest,False,True
09185000,"PACK CREEK NEAR MOAB, UTAH",38.5402606,-109.500672,UT,019,14030005,14030005,14,57.40,ST,Yes,Southwest,False,True
09185100,"MILL CREEK BLW PACK CREEK NR MOUTH AT MOAB, UT",38.5732861,-109.5672083,UT,019,14030005,14030005,14,142,ST,Yes,Southwest,False,True
09185500,"HATCH WASH NEAR LA SAL, UTAH",38.24332,-109.4401142,UT,037,14030005,14030005,14,378.00,ST,Yes,Southwest,False,True
09185600,"COLORADO RIVER AT POTASH, UT",38.5047222,-109.6583333,UT,019,14030005,14030005,14,25406,ST,Yes,Southwest,False,True
09185800,"INDIAN CREEK TUNNEL NEAR MONTICELLO, UTAH",37.8411046,-109.5054004,UT,037,14030005,14030005,14,2.45,ST,Yes,Southwest,False,True
09186000,"INDIAN CREEK NEAR MONTICELLO, UTAH",37.84443774,-109.518734,UT,037,14030005,14030005,14,4.70,ST,Yes,Southwest,False,True
09186500,"INDIAN C AB COTTONWOOD CREEK, NR MONTICELLO, UT",37.9722137,-109.5192888,UT,037,14030005,14030005,14,31.20,ST,Yes,Southwest,False,True
09187000,"COTTONWOOD CREEK NEAR MONTICELLO, UTAH",38.06248946,-109.5742877,UT,037,14030005,14030005,14,115.00,ST,Yes,Southwest,False,True
09187500,"INDIAN CREEK ABV HARTS DRAW, NR MONTICELLO, UT",38.1516546,-109.6256753,UT,037,14030005,14030005,14,258.00,ST,Yes,Southwest,False,True
09187550,"INDIAN CREEK BLW BOGUS POCKET, NR MONTICELLO, UT",38.1516546,-109.6256753,UT,037,14030005,14030005,14,262.00,ST,Yes,Southwest,False,True
09217900,"BLACKS FORK NEAR ROBERTSON, WY",40.95902778,-110.5797222,UT,043,14040107,14040107,14,126,ST,Yes,Southwest,False,True
09219500,"E Fk Smiths Fk at China Meadows, nr Robertson, WY",40.9333333,-110.4002778,UT,043,14040107,14040107,14,36.9,ST,Yes,Southwest,False,True
09225500,"GREEN RIVER NEAR LINWOOD, UTAH",40.9666262,-109.5784759,UT,009,14040106,14040106,14,18300.00,ST,Yes,Southwest,False,True
09226500,"MIDDLE FORK BEAVER CREEK NEAR LONETREE, WYO.",40.9443932,-110.1793209,UT,043,14040106,14040106,14,28.10,ST,Yes,Southwest,False,True
09227000,"EF BEAVER CREEK NEAR LONETREE, WYOMING",40.9443936,-110.1618207,UT,043,14040106,14040106,14,8.20,ST,Yes,Southwest,False,True
09227500,"WEST FORK BEAVER CREEK NEAR LONETREE, WYOMING",40.94717019,-110.2173767,UT,043,14040106,14040106,14,23.00,ST,Yes,Southwest,False,True
