site_no,station_nm,latitude,longitude,state_cd,county_cd,huc_cd,huc_code,huc_region,drainage_area,site_type,active,basin,is_huc17,has_discharge
09379025,"CHINLE CREEK AT CHINLE, AZ",36.155,-109.5375,AZ,1,14080204,14080204,14,639.0,ST,Yes,Southwest,False,True
09379200,"CHINLE CREEK NEAR MEXICAN WATER, AZ",36.94388757,-109.71068655,AZ,1,140802041702,140802041702,14,3650.0,ST,Yes,Southwest,False,True
09380000,"COLORADO RIVER AT LEES FERRY, AZ",36.86433333,-111.58787222,AZ,5,140700061105,140700061105,14,111800.0,ST,Yes,Southwest,False,True
09382000,"PARIA RIVER AT LEES FERRY, AZ",36.87221098,-111.59462862,AZ,5,140700070706,140700070706,14,1410.0,ST,Yes,Southwest,False,True
09383400,"LITTLE COLORADO RIVER AT GREER, AZ",34.01588889,-109.45708333,AZ,1,150200010203,150200010203,15,29.1,ST,Yes,Southwest,False,True
09384000,"LITTLE COLORADO R ABV LYMAN LAKE NR ST. JOHNS, AZ",34.31502222,-109.36233056,AZ,1,150200010409,150200010409,15,706.0,ST,Yes,Southwest,False,True
09385700,"LITTLE COLORADO RIVER BELOW SALADO SPRINGS, AZ",34.4505935,-109.3623199,AZ,1,15020002,15020002,15,845.0,ST,Yes,Southwest,False,True
06614800,"MICHIGAN RIVER NEAR CAMERON PASS, CO",40.49609409,-105.8650119,CO,57,10180001,10180001,10,1.54,ST,Yes,Southwest,False,True
06620000,"NORTH PLATTE RIVER NEAR NORTHGATE, CO",40.93663889,-106.3391944,CO,57,10180001,10180001,10,1431.0,ST,Yes,Southwest,False,True
09180000,"DOLORES RIVER NEAR CISCO, UT",38.79720805,-109.1951142,UT,19,14030004,14030004,14,4580.0,ST,Yes,Southwest,False,True
09180500,"COLORADO RIVER NEAR CISCO, UT",38.81054095,-109.2934493,UT,19,14030005,14030005,14,24100.0,ST,Yes,Southwest,False,True
09182400,"CASTLE CREEK BELOW CASTLE VALLEY NEAR MOAB, UT",38.673859,-109.4501395,UT,19,14030005,14030005,14,58.1,ST,Yes,Southwest,False,True
09183500,"MILL CREEK AT SHELEY TUNNEL, NEAR MOAB, UT",38.4819972,-109.405025,UT,37,14030005,14030005,14,26.8,ST,Yes,Southwest,False,True
09183600,"MILL CREEK BELOW SHELEY TUNNEL, NEAR MOAB, UT",38.48571796,-109.4111044,UT,37,14030005,14030005,14,27.6,ST,Yes,Southwest,False,True
09183800,"NORTH FORK MILL CREEK NEAR MOAB, UTAH",38.56599444,-109.477175,UT,19,14030005,14030005,14,,ST,Yes,Southwest,False,True
09184600,"PACK CREEK AT PACK CREEK ROAD BRIDGE NEAR MOAB, UT",38.44580556,-109.38525,UT,37,14030005,14030005,14,30.5,ST,Yes,Southwest,False,True
09185100,"MILL CREEK BLW PACK CREEK NR MOUTH AT MOAB, UT",38.5732861,-109.5672083,UT,19,14030005,14030005,14,142.0,ST,Yes,Southwest,False,True
09185600,"COLORADO RIVER AT POTASH, UT",38.5047222,-109.6583333,UT,19,14030005,14030005,14,25406.0,ST,Yes,Southwest,False,True
