site_no,station_nm,state_cd,error
09379050,"LUKACHUKAI CREEK NEAR LUKACHUKAI, AZ",AZ,No data in response
09379180,"LAGUNA CREEK AT DENNEHOTSO, AZ",AZ,No data in response
09379910,"COLORADO RIVER BELOW GLEN CANYON DAM, AZ",AZ,No data in response
09380002,COLORADO R AT LEES FERRY - UNIT VALUES,AZ,No data in response
09383000,"COLORADO RIVER AT COMPACT POINT NR LEES FERRY, AZ",AZ,No data in response
09383100,COLORADO R ABV LITTLE COLORADO R NR DESERT VIEW,AZ,No data in response
09383200,"LEE VALLEY CR AB LEE VALLEY RES NR GREER, AZ.",AZ,No data in response
09383220," LEE VALLEY CREEK TRIBUTARY NEAR GREER, ARIZ.",AZ,No data in response
09383250,"LEE VALLEY CR BL LEE VALLEY RES NR GREER, AZ.",AZ,No data in response
09383300,"FILLER DITCH AT GREER, AZ",AZ,No data in response
09383409,"SOUTH FORK LITTLE COLORADO RIVER NEAR GREER, AZ",AZ,No data in response
09383417,"WATER CANYON CREEK NEAR EAGAR, AZ",AZ,No data in response
09383420,"BECKER LAKE DITCH AT SPRINGERVILLE, AZ",AZ,No data in response
09383430,"LITTLE COLORADO RIVER AT SPRINGERVILLE, AZ",AZ,No data in response
09383500,"NUTRIOSO CREEK ABV NELSON RES NR SPRINGERVILLE, AZ",AZ,No data in response
09383550,NUTRIOSO CR BELOW NELSON RES NR SPRINGERVILLE AZ,AZ,No data in response
09383570,"NUTRIOSO CREEK AT SPRINGERVILLE, AZ",AZ,No data in response
09383590,"IRRIGATION DIV. 1 AT WENIMA, NR SPRINGERVILLE, AZ",AZ,No data in response
09383595,"LITTLE COLORADO R AT WENIMA, NR SPRINGERVILLE, AZ",AZ,No data in response
09384600,"LYMAN LAKE NEAR ST. JOHNS, AZ",AZ,No data in response
09385000,"LYMAN CANAL BLW. LYMAN RES. NR. ST. JOHNS, ARIZ.",AZ,No data in response
09385500,LCR BEL LYMAN RES NR ST JOHNS ARIZ,AZ,No data in response
09385701,"L COLORADO R BAL SALADO SP NR ST JOHN, AZ DUMMY",AZ,No data in response
06611000,"COLORADO CREEK NEAR SPICER, CO.",CO,No data in response
06611100,"GRIZZLY CREEK NEAR SPICER, CO.",CO,No data in response
06611200,"BUFFALO CREEK NEAR HEBRON, CO.",CO,No data in response
06611300,"GRIZZLY CREEK NEAR HEBRON, CO.",CO,No data in response
06611500,"GRIZZLY CREEK NEAR WALDEN, CO",CO,No data in response
06611700,"LITTLE GRIZZLY CREEK NEAR COALMONT, CO.",CO,No data in response
06611800,"LITTLE GRIZZLY CREEK ABOVE COALMONT, CO.",CO,No data in response
06611900,"LITTLE GRIZZLY CREEK ABOVE HEBRON, CO.",CO,No data in response
06612000,"LITTLE GRIZZLY CREEK NEAR HEBRON, CO.",CO,No data in response
06612500,"ROARING FORK NEAR WALDEN, CO.",CO,No data in response
