state_code,nws_id,usgs_id,goes_id,nws_hsa,latitude_dms,longitude_dms,latitude_decimal,longitude_decimal,station_name,raw_line
WA,ACAW1,13335050,17B9A486,OTX,46 20 27,117 03 18,46.340833333333336,-117.05499999999999,ASOTIN CREEK AT ASOTIN WA,ACAW1|13335050       |17B9A486|OTX|46 20 27   |117 03 18   |ASOTIN CREEK AT ASOTIN WA
WA,ACMW1,12447390,163647FC,OTX,48 49 23,120 08 41,48.823055555555555,-120.14472222222223,ANDREWS CREEK NEAR MAZAMA WA,ACMW1|12447390       |163647FC|OTX|48 49 23   |120 08 41   |ANDREWS CREEK NEAR MAZAMA WA
WA,ANAW1,13334300,DD5CA296,OTX,46 05 50,116 58 36,46.09722222222222,-116.97666666666667,SNAKE RIVER NEAR ANATONE WA,ANAW1|13334300       |DD5CA296|OTX|46 05 50   |116 58 36   |SNAKE RIVER NEAR ANATONE WA
WA,ANTW1,12444290,169CD59A,OTX,48 45 34,119 24 29,48.75944444444445,-119.40805555555556,ANTOINE CREEK AT US HWY 97 NEAR ELLISFORDE WA,ANTW1|12444290       |169CD59A|OTX|48 45 34   |119 24 29   |ANTOINE CREEK AT US HWY 97 NEAR ELLISFORDE WA
WA,ARDW1,12452800,DD09A114,OTX,47 49 07,120 25 19,47.81861111111112,-120.42194444444445,ENTIAT RIVER NEAR ARDENVOIR WA,ARDW1|12452800       |DD09A114|OTX|47 49 07   |120 25 19   |ENTIAT RIVER NEAR ARDENVOIR WA
WA,ATAW1,08065980,16DC65C8,OTX,30 51 38.83,095 26 00.79,30.860786111111114,-95.43355277777778,HARMON CK NR RIVERSIDE TX,ATAW1|08065980       |16DC65C8|OTX|30 51 38.83|095 26 00.79|HARMON CK NR RIVERSIDE TX
WA,ATGW1,12395500,DE0A5478,OTX,48 10 56,117 02 03,48.18222222222222,-117.03416666666666,PEND OREILLE RIVER AT NEWPORT WA,ATGW1|12395500       |DE0A5478|OTX|48 10 56   |117 02 03   |PEND OREILLE RIVER AT NEWPORT WA
WA,BCAW1,12396500,DD7602D2,OTX,48 46 52,117 24 55,48.78111111111111,-117.41527777777779,PEND OREILLE RIVER BELOW BOX CANYON NEAR IONE WA,BCAW1|12396500       |DD7602D2|OTX|48 46 52   |117 24 55   |PEND OREILLE RIVER BELOW BOX CANYON NEAR IONE WA
WA,BCRW1,12444550,DD09129A,OTX,48 42 05,119 26 30,48.70138888888889,-119.44166666666668,BONAPARTE CREEK AT TONASKET WA,BCRW1|12444550       |DD09129A|OTX|48 42 05   |119 26 30   |BONAPARTE CREEK AT TONASKET WA
WA,BDSW1,485851117212800,16E9A166,OTX,48 58 51,117 21 28,48.98083333333334,-117.35777777777777,BOUNDARY P. NR METALINE WA,BDSW1|485851117212800|16E9A166|OTX|48 58 51   |117 21 28   |BOUNDARY P. NR METALINE WA
WA,BDYW1,12398600,DE61730E,OTX,48 59 56,117 21 09,48.99888888888889,-117.35249999999999,PEND OREILLE RIVER AT INTERNATIONAL BOUNDARY,BDYW1|12398600       |DE61730E|OTX|48 59 56   |117 21 09   |PEND OREILLE RIVER AT INTERNATIONAL BOUNDARY
WA,BWTW1,12398550,DE61B610,OTX,48 59 20,117 20 55,48.98888888888889,-117.34861111111111,BOUNDARY RESERVOIR AT FOREBAY NR METALINE FALLS,BWTW1|12398550       |DE61B610|OTX|48 59 20   |117 20 55   |BOUNDARY RESERVOIR AT FOREBAY NR METALINE FALLS
WA,BYRW1,474525120161000,DE6595C6,OTX,47 45 25,120 16 10,47.75694444444444,-120.26944444444445,BD2 PRECIP SITE BYRD CANYON NEAR ENTIAT WA,BYRW1|474525120161000|DE6595C6|OTX|47 45 25   |120 16 10   |BD2 PRECIP SITE BYRD CANYON NEAR ENTIAT WA
WA,BZRW1,475955120220601,DE66A752,OTX,47 59 54.52,120 22 06.11,47.99847777777778,-120.36836388888888,BARNEY ZEL RIDGE NEAR MANSON WA,BZRW1|475955120220601|DE66A752|OTX|47 59 54.52|120 22 06.11|BARNEY ZEL RIDGE NEAR MANSON WA
WA,CCBW1,12472600,1714F1CA,OTX,46 49 48,119 49 48,46.830000000000005,-119.83,CRAB CREEK NEAR BEVERLY WA,CCBW1|12472600       |1714F1CA|OTX|46 49 48   |119 49 48   |CRAB CREEK NEAR BEVERLY WA
WA,CHDW1,12452000,16DEE628,OTX,47 50 11,120 03 37,47.83638888888889,-120.06027777777777,LAKE CHELAN AT CHELAN WA,CHDW1|12452000       |16DEE628|OTX|47 50 11   |120 03 37   |LAKE CHELAN AT CHELAN WA
WA,CHEW1,481626117425600,16397A26,OTX,48 16 24,117 44 24,48.27333333333333,-117.74,CHEWELAH P. AT CHEWELAH WA,CHEW1|481626117425600|16397A26|OTX|48 16 24   |117 44 24   |CHEWELAH P. AT CHEWELAH WA
WA,CHIW1,12456500,DE04F0E8,OTX,47 50 15,120 39 40,47.837500000000006,-120.66111111111111,CHIWAWA RIVER NEAR PLAIN WA,CHIW1|12456500       |DE04F0E8|OTX|47 50 15   |120 39 40   |CHIWAWA RIVER NEAR PLAIN WA
