usgs_id,nws_id,goes_id,nws_hsa,state_code,latitude_decimal,longitude_decimal,latitude_dms,longitude_dms,station_name,data_source
10251290,BHSC1,DD8C429E,VEF,CA,35.885694,-116.23425,35 53 08.5,116 14 03.3,BOREHOLE SPG CHANNEL NR TECOPA HOT SPGS CA,NOAA_HADS
10251300,TCPC1,DE03D430,VEF,CA,35.849444,-116.230833,35 50 58,116 13 51,AMARGOSA RV AT TECOPA CA,NOAA_HADS
10251330,AMCC1,DD99A132,VEF,CA,35.790528,-116.207639,35 47 25.9,116 12 27.5,AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA CA,NOAA_HADS
10251335,WLWC1,163FDA10,VEF,CA,35.800944,-116.194417,35 48 03.4,116 11 39.9,WILLOW CK AT CHINA RANCH CA,NOAA_HADS
10254005,ZSSC1,DD74575A,PSR,CA,33.1925,-115.833056,33 11 33,115 49 59,SALTON SEA NR WESTMORLAND CA,NOAA_HADS
10254050,ZSCC1,DDFAF472,PSR,CA,33.446944,-115.8425,33 26 49,115 50 33,SALT C NR MECCA,NOAA_HADS
10254730,ZANC1,163F02AA,PSR,CA,33.198889,-115.596111,33 11 56,115 35 46,ALAMO R NR NILAND CA,NOAA_HADS
10254970,IBCC1,16C85C24,PSR,CA,32.665833,-115.502222,32 39 57,115 30 08,NEW R AT INTERNATIONAL BOUNDARY AT CALEXICO CA,NOAA_HADS
10255550,ZNRC1,DDF6161C,PSR,CA,33.104722,-115.663611,33 06 17,115 39 49,NEW R NR WESTMORLAND CA,NOAA_HADS
10255810,BPCC1,172C667E,SGX,CA,33.279167,-116.430556,33 16 45,116 25 50,BORREGO PALM C NR BORREGO SPRINGS CA,NOAA_HADS
10256500,NCKC1,1790F348,SGX,CA,33.870556,-116.680278,33 52 14,116 40 49,SNOW C NR WHITE WATER CA,NOAA_HADS
10257500,FACC1,17933158,SGX,CA,33.869444,-116.670833,33 52 10,116 40 15,FALLS C NR WHITE WATER CA,NOAA_HADS
10257548,WIPC1,DDF6056A,SGX,CA,33.898889,-116.620278,33 53 56,116 37 13,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,NOAA_HADS
10257549,WWPC1,DE313446,SGX,CA,33.898889,-116.620278,33 53 56,116 37 13,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,NOAA_HADS
10257720,CCCC1,1793A43A,SGX,CA,33.84385,-116.605808,33 50 37.86,116 36 20.91,CHINO CYN C BL TRAMWAY NR PALM SPRINGS CA,NOAA_HADS
10258000,TQUC1,DDF81274,SGX,CA,33.805,-116.558333,33 48 18,116 33 30,TAHQUITZ C NR PALM SPRINGS CA,NOAA_HADS
10258500,PCNC1,DDF5B1EA,SGX,CA,33.745,-116.534722,33 44 42,116 32 05,PALM CYN C NR PALM SPRINGS CA,NOAA_HADS
10258700,MYNC1,DD5D0094,SGX,CA,33.752778,-116.544444,33 45 10,116 32 40,MURRAY CYN C NR PALM SPRINGS CA,NOAA_HADS
10259000,ANRC1,DDF090C6,SGX,CA,33.76,-116.549167,33 45 36,116 32 57,ANDREAS C NR PALM SPRINGS CA,NOAA_HADS
10259050,PMYC1,DE076284,SGX,CA,33.797222,-116.481111,33 47 50,116 28 52,PALM CYN WASH NR CATHEDRAL CITY CA,NOAA_HADS
10259100,WWIC1,1735A2A2,SGX,CA,33.749444,-116.421944,33 44 58,116 25 19,WHITEWATER R A RANCHO MIRAGE CA,NOAA_HADS
10259200,DEPC1,DE078176,SGX,CA,33.631111,-116.391389,33 37 52,116 23 29,DEEP C NR PALM DESERT CA,NOAA_HADS
10259300,WTIC1,DE079200,SGX,CA,33.737222,-116.235278,33 44 14,116 14 07,WHITEWATER R A INDIO CA,NOAA_HADS
10259540,WHWC1,173D631A,SGX,CA,33.524722,-116.076667,33 31 29,116 04 36,WHITEWATER R NR MECCA,NOAA_HADS
10260200,PWHC1,16F52170,SGX,CA,34.171944,-116.546667,34 10 19,116 32 48,PIPES WASH NR YUCCA VALLEY CA,NOAA_HADS
10260400,CUXC1,16F514EA,SGX,CA,34.347778,-116.845833,34 20 52,116 50 45,CUSHENBURY CANYON C NR LUCERNE VALLEY CA,NOAA_HADS
10260500,DKHC1,17D6B350,SGX,CA,34.343056,-117.225556,34 20 35,117 13 32,DEEP C NR HESPERIA CA,NOAA_HADS
10260855,GVVC1,1792D050,SGX,CA,34.26,-117.204444,34 15 36,117 12 16,GRASS VALLEY LK TUNNEL OUTLET A LAKE ARROWHEAD CA,NOAA_HADS
